1;70;0;0;0;70;70
2;89;0;0;0;104;104
3;89;0;0;0;104;104
4;89;0;0;0;104;104
5;75;0;0;0;70;87
6;75;0;0;0;70;87
7;75;0;0;0;70;87
8;86;86;86;86;86;0
9;86;86;86;86;86;0
10;64;77;74;64;74;64
11;64;77;74;64;74;64
12;150;160;30;20;0;0
13;111;111;111;111;0;0
14;20;160;150;0;0;109
15;65;109;109;0;0;109
16;102;102;102;102;102;0
17;102;102;102;102;102;0
18;0;0;0;0;0;84
19;0;102;0;90;0;0
20;0;102;0;90;0;0
21;0;0;102;90;208;0
22;0;102;102;90;0;0
23;114;108;108;96;96;0
24;84;206;98;90;82;82
25;84;206;98;90;82;82
26;84;206;98;90;82;82
27;0;87;87;87;87;0
28;70;70;94;94;130;0
29;79;79;79;79;79;0
30;82;82;82;82;82;0
31;96;0;0;0;96;209
32;96;0;0;0;96;209
33;96;0;0;0;96;209
34;210;0;290;91;91;91
35;91;0;91;91;91;91
36;91;0;91;91;91;91
37;89;89;89;89;89;0
38;89;89;89;89;89;0
39;122;122;122;122;122;0
40;122;122;122;122;122;0
41;108;0;108;108;108;0
42;108;0;108;108;108;0
43;98;98;98;98;98;0
44;98;98;98;98;98;0
45;0;98;98;98;0;0
46;86;0;86;86;86;0
47;86;0;86;86;86;0
48;0;0;120;0;43;0
49;0;0;130;80;79;0
50;98;98;98;98;98;0
