1;71
2;105
3;105
4;105
5;89
6;89
7;89
8;87
9;87
10;79
11;79
12;197
13;197
14;189
15;189
16;233
17;233
18;85
19;203
20;203
21;209
22;211
23;115
24;207
25;207
26;207
27;205
28;177
29;177
30;149
31;211
32;211
33;211
34;195
35;195
36;195
37;229
38;229
39;251
40;51
41;225
42;225
43;177
44;177
45;99
46;171
47;171
48;99
49;99
50;247
51;247
52;185
53;185
54;93
55;215
56;79
57;59
58;101
59;77
60;83
61;87
62;71
63;1
64;77
65;77
66;87
67;145
68;129
69;219
70;247
71;247
72;225
73;225
74;235
75;235
76;75
77;101
78;101
79;69
80;229
81;207
82;85
83;95
84;205
85;417
86;119
87;79
88;447
89;235
90;235
91;235
92;205
93;65
94;81
95;65
96;71
97;91
98;77
99;247
100;69
101;93
102;79
103;79
104;93
105;91
106;87
107;95
108;85
109;79
110;79
111;85
112;85
113;207
114;205
115;79
116;77
117;91
118;205
119;85
120;69
121;93
122;47
123;221
124;215
125;203
126;219
127;209
128;155
129;211
130;225
131;225
132;83
133;83
134;73
135;73
136;93
137;231
138;257
139;103
140;113
141;205
142;131
143;121
144;189
145;137
146;207
147;215
148;203
149;93
150;221
151;215
152;189
153;123
154;123
155;221
156;263
157;263
158;113
159;99
160;99
161;99
162;221
163;197
164;105
165;87
166;99
167;99
168;89
169;89
170;89
171;197
172;197
173;197
174;207
175;207
176;207
177;93
178;195
179;195
180;99
181;167
182;167
183;85
184;91
185;91
186;91
187;91
188;91
189;59
190;189
191;85
192;85
193;79
194;89
195;89
196;89
197;111
198;111
199;111
200;99
201;115
202;115
203;115
204;111
205;111
206;93
207;69
208;85
209;197
210;219
211;177
212;177
213;177
214;177
215;191
216;191
217;191
218;225
219;225
220;225
221;225
222;225
223;201
224;201
225;183
226;75
227;155
228;155
229;155
230;189
231;189
232;189
233;99
234;121
235;1
236;1
237;289
238;271
239;247
240;273
241;123
242;273
243;283
244;133
245;225
246;171
247;103
248;103
249;39
250;73
251;73
252;67
253;67
254;223
255;235
256;93
257;97
258;71
259;119
260;133
261;133
262;247
263;297
264;1
265;279
266;215
267;215
268;219
269;219
270;171
271;235
272;235
