what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1254992172948
error,log,,,"Bad type signature: ;\n",1254992172952
error,log,,,"Bad type signature: ;\n",1254992173363
error,log,,,"Bad type signature: ;\n",1254992173367
error,log,,,"Bad type signature: ;\n",1254992173396
error,log,,,"Bad type signature: ;\n",1254992173401
error,log,,,"Bad type signature: ;\n",1254992173429
error,log,,,"Bad type signature: ;\n",1254992173430
error,log,,,"Bad type signature: ;\n",1254992173432
error,log,,,"Bad type signature: ;\n",1254992173433
error,log,,,"Bad type signature: ;\n",1254992173434
error,log,,,"Bad type signature: ;\n",1254992173435
error,log,,,"Bad type signature: ;\n",1254992173437
error,log,,,"Bad type signature: ;\n",1254992173438
error,log,,,"Bad type signature: ;\n",1254992173439
error,log,,,"Bad type signature: ;\n",1254992173440
error,log,,,"Bad type signature: ;\n",1254992173442
error,log,,,"Bad type signature: ;\n",1254992173443
error,log,,,"Bad type signature: ;\n",1254992173444
error,log,,,"Bad type signature: ;\n",1254992173445
error,log,,,"Bad type signature: ;\n",1254992173450
error,log,,,"Bad type signature: ;\n",1254992173451
error,log,,,"Bad type signature: ;\n",1254992173453
error,log,,,"Bad type signature: ;\n",1254992173454
error,log,,,"Bad type signature: ;\n",1254992173455
