what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255032084737
error,log,,,"Bad type signature: ;\n",1255032084738
error,log,,,"Bad type signature: ;\n",1255032084739
error,log,,,"Bad type signature: ;\n",1255032084740
error,log,,,"Bad type signature: ;\n",1255032084753
error,log,,,"Bad type signature: ;\n",1255032084755
error,log,,,"Bad type signature: ;\n",1255032084756
error,log,,,"Bad type signature: ;\n",1255032084757
error,log,,,"Bad type signature: ;\n",1255032084758
error,log,,,"Bad type signature: ;\n",1255032084759
error,log,,,"Bad type signature: ;\n",1255032084761
error,log,,,"Bad type signature: ;\n",1255032084762
error,log,,,"Bad type signature: ;\n",1255032084763
error,log,,,"Bad type signature: ;\n",1255032084764
error,log,,,"Bad type signature: ;\n",1255032084766
error,log,,,"Bad type signature: ;\n",1255032084767
error,log,,,"Bad type signature: ;\n",1255032084783
error,log,,,"Bad type signature: ;\n",1255032084784
error,log,,,"Bad type signature: ;\n",1255032084786
error,log,,,"Bad type signature: ;\n",1255032084787
error,log,,,"Bad type signature: ;\n",1255032084788
error,log,,,"Bad type signature: ;\n",1255032084789
error,log,,,"Bad type signature: ;\n",1255032084790
error,log,,,"Bad type signature: ;\n",1255032084791
error,log,,,"Bad type signature: ;\n",1255032084793
