what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255020887354
error,log,,,"Bad type signature: ;\n",1255020887385
error,log,,,"Bad type signature: ;\n",1255020887435
error,log,,,"Bad type signature: ;\n",1255020887467
error,log,,,"Bad type signature: ;\n",1255020887469
error,log,,,"Bad type signature: ;\n",1255020887495
error,log,,,"Bad type signature: ;\n",1255020887497
error,log,,,"Bad type signature: ;\n",1255020887554
error,log,,,"Bad type signature: ;\n",1255020887556
error,log,,,"Bad type signature: ;\n",1255020887588
error,log,,,"Bad type signature: ;\n",1255020887590
error,log,,,"Bad type signature: ;\n",1255020888259
error,log,,,"Bad type signature: ;\n",1255020888260
error,log,,,"Bad type signature: ;\n",1255020888286
error,log,,,"Bad type signature: ;\n",1255020888287
error,log,,,"Bad type signature: ;\n",1255020888530
error,log,,,"Bad type signature: ;\n",1255020888532
error,log,,,"Bad type signature: ;\n",1255020888534
error,log,,,"Bad type signature: ;\n",1255020888536
error,log,,,"Bad type signature: ;\n",1255020888537
error,log,,,"Bad type signature: ;\n",1255020888567
error,log,,,"Bad type signature: ;\n",1255020888569
error,log,,,"Bad type signature: ;\n",1255020888570
error,log,,,"Bad type signature: ;\n",1255020888571
error,log,,,"Bad type signature: ;\n",1255020888572
