what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255030687592
error,log,,,"Bad type signature: ;\n",1255030687594
error,log,,,"Bad type signature: ;\n",1255030687595
error,log,,,"Bad type signature: ;\n",1255030687596
error,log,,,"Bad type signature: ;\n",1255030687597
error,log,,,"Bad type signature: ;\n",1255030687598
error,log,,,"Bad type signature: ;\n",1255030687599
error,log,,,"Bad type signature: ;\n",1255030687601
error,log,,,"Bad type signature: ;\n",1255030687602
error,log,,,"Bad type signature: ;\n",1255030687603
error,log,,,"Bad type signature: ;\n",1255030687604
error,log,,,"Bad type signature: ;\n",1255030687605
error,log,,,"Bad type signature: ;\n",1255030687607
error,log,,,"Bad type signature: ;\n",1255030687608
error,log,,,"Bad type signature: ;\n",1255030687609
error,log,,,"Bad type signature: ;\n",1255030687610
error,log,,,"Bad type signature: ;\n",1255030687611
error,log,,,"Bad type signature: ;\n",1255030687612
error,log,,,"Bad type signature: ;\n",1255030687614
error,log,,,"Bad type signature: ;\n",1255030687631
error,log,,,"Bad type signature: ;\n",1255030687633
error,log,,,"Bad type signature: ;\n",1255030687634
error,log,,,"Bad type signature: ;\n",1255030687635
error,log,,,"Bad type signature: ;\n",1255030687636
error,log,,,"Bad type signature: ;\n",1255030687637
