what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255017818814
error,log,,,"Bad type signature: ;\n",1255017818815
error,log,,,"Bad type signature: ;\n",1255017818816
error,log,,,"Bad type signature: ;\n",1255017818817
error,log,,,"Bad type signature: ;\n",1255017818818
error,log,,,"Bad type signature: ;\n",1255017818820
error,log,,,"Bad type signature: ;\n",1255017818821
error,log,,,"Bad type signature: ;\n",1255017818822
error,log,,,"Bad type signature: ;\n",1255017818823
error,log,,,"Bad type signature: ;\n",1255017818860
error,log,,,"Bad type signature: ;\n",1255017818861
error,log,,,"Bad type signature: ;\n",1255017818862
error,log,,,"Bad type signature: ;\n",1255017818863
error,log,,,"Bad type signature: ;\n",1255017818865
error,log,,,"Bad type signature: ;\n",1255017818866
error,log,,,"Bad type signature: ;\n",1255017818867
error,log,,,"Bad type signature: ;\n",1255017818868
error,log,,,"Bad type signature: ;\n",1255017818869
error,log,,,"Bad type signature: ;\n",1255017818870
error,log,,,"Bad type signature: ;\n",1255017849263
error,log,,,"Bad type signature: ;\n",1255017849264
error,log,,,"Bad type signature: ;\n",1255017849265
error,log,,,"Bad type signature: ;\n",1255017849267
error,log,,,"Bad type signature: ;\n",1255017849268
error,log,,,"Bad type signature: ;\n",1255017849293
