what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255030920804
error,log,,,"Bad type signature: ;\n",1255030920805
error,log,,,"Bad type signature: ;\n",1255030920806
error,log,,,"Bad type signature: ;\n",1255030920807
error,log,,,"Bad type signature: ;\n",1255030920808
error,log,,,"Bad type signature: ;\n",1255030920809
error,log,,,"Bad type signature: ;\n",1255030920811
error,log,,,"Bad type signature: ;\n",1255030920812
error,log,,,"Bad type signature: ;\n",1255030920813
error,log,,,"Bad type signature: ;\n",1255030920814
error,log,,,"Bad type signature: ;\n",1255030920815
error,log,,,"Bad type signature: ;\n",1255030920817
error,log,,,"Bad type signature: ;\n",1255030920818
error,log,,,"Bad type signature: ;\n",1255030920819
error,log,,,"Bad type signature: ;\n",1255030920820
error,log,,,"Bad type signature: ;\n",1255030920821
error,log,,,"Bad type signature: ;\n",1255030920822
error,log,,,"Bad type signature: ;\n",1255030920823
error,log,,,"Bad type signature: ;\n",1255030920839
error,log,,,"Bad type signature: ;\n",1255030920840
error,log,,,"Bad type signature: ;\n",1255030920841
error,log,,,"Bad type signature: ;\n",1255030920842
error,log,,,"Bad type signature: ;\n",1255030920843
error,log,,,"Bad type signature: ;\n",1255030920844
error,log,,,"Bad type signature: ;\n",1255030920846
