what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255165271263
error,log,,,"Bad type signature: ;\n",1255165271265
error,log,,,"Bad type signature: ;\n",1255165271267
error,log,,,"Bad type signature: ;\n",1255165271268
error,log,,,"Bad type signature: ;\n",1255165271270
error,log,,,"Bad type signature: ;\n",1255165271271
error,log,,,"Bad type signature: ;\n",1255165271273
error,log,,,"Bad type signature: ;\n",1255165271274
error,log,,,"Bad type signature: ;\n",1255165271276
error,log,,,"Bad type signature: ;\n",1255165271278
error,log,,,"Bad type signature: ;\n",1255165271279
error,log,,,"Bad type signature: ;\n",1255165271291
error,log,,,"Bad type signature: ;\n",1255165271293
error,log,,,"Bad type signature: ;\n",1255165271309
error,log,,,"Bad type signature: ;\n",1255165271311
error,log,,,"Bad type signature: ;\n",1255165271312
error,log,,,"Bad type signature: ;\n",1255165271314
error,log,,,"Bad type signature: ;\n",1255165271315
error,log,,,"Bad type signature: ;\n",1255165271317
error,log,,,"Bad type signature: ;\n",1255165271318
error,log,,,"Bad type signature: ;\n",1255165271320
error,log,,,"Bad type signature: ;\n",1255165271321
error,log,,,"Bad type signature: ;\n",1255165271322
error,log,,,"Bad type signature: ;\n",1255165271324
error,log,,,"Bad type signature: ;\n",1255165271325
