what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255020836900
error,log,,,"Bad type signature: ;\n",1255020836926
error,log,,,"Bad type signature: ;\n",1255020836964
error,log,,,"Bad type signature: ;\n",1255020837002
error,log,,,"Bad type signature: ;\n",1255020837370
error,log,,,"Bad type signature: ;\n",1255020837401
error,log,,,"Bad type signature: ;\n",1255020837580
error,log,,,"Bad type signature: ;\n",1255020837606
error,log,,,"Bad type signature: ;\n",1255020839733
error,log,,,"Bad type signature: ;\n",1255020839735
error,log,,,"Bad type signature: ;\n",1255020839760
error,log,,,"Bad type signature: ;\n",1255020839762
error,log,,,"Bad type signature: ;\n",1255020886955
error,log,,,"Bad type signature: ;\n",1255020886981
error,log,,,"Bad type signature: ;\n",1255020887014
error,log,,,"Bad type signature: ;\n",1255020887040
error,log,,,"Bad type signature: ;\n",1255020887072
error,log,,,"Bad type signature: ;\n",1255020887099
error,log,,,"Bad type signature: ;\n",1255020887130
error,log,,,"Bad type signature: ;\n",1255020887178
error,log,,,"Bad type signature: ;\n",1255020887209
error,log,,,"Bad type signature: ;\n",1255020887236
error,log,,,"Bad type signature: ;\n",1255020887268
error,log,,,"Bad type signature: ;\n",1255020887295
error,log,,,"Bad type signature: ;\n",1255020887326
