what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255017849295
error,log,,,"Bad type signature: ;\n",1255017849296
error,log,,,"Bad type signature: ;\n",1255017849298
error,log,,,"Bad type signature: ;\n",1255017849299
error,log,,,"Bad type signature: ;\n",1255017850810
error,log,,,"Bad type signature: ;\n",1255017850811
error,log,,,"Bad type signature: ;\n",1255017850812
error,log,,,"Bad type signature: ;\n",1255017850813
error,log,,,"Bad type signature: ;\n",1255017850814
error,log,,,"Bad type signature: ;\n",1255017850841
error,log,,,"Bad type signature: ;\n",1255017850842
error,log,,,"Bad type signature: ;\n",1255017850843
error,log,,,"Bad type signature: ;\n",1255017850844
error,log,,,"Bad type signature: ;\n",1255017850846
error,log,,,"Bad type signature: ;\n",1255017850919
error,log,,,"Bad type signature: ;\n",1255017850920
error,log,,,"Bad type signature: ;\n",1255017850921
error,log,,,"Bad type signature: ;\n",1255017850922
error,log,,,"Bad type signature: ;\n",1255017850923
error,log,,,"Bad type signature: ;\n",1255017850949
error,log,,,"Bad type signature: ;\n",1255017850950
error,log,,,"Bad type signature: ;\n",1255017850951
error,log,,,"Bad type signature: ;\n",1255017850953
error,log,,,"Bad type signature: ;\n",1255017850954
error,log,,,"Bad type signature: ;\n",1255017852351
