what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255020799532
error,log,,,"Bad type signature: ;\n",1255020799533
error,log,,,"Bad type signature: ;\n",1255020799535
error,log,,,"Bad type signature: ;\n",1255020799536
error,log,,,"Bad type signature: ;\n",1255020799537
error,log,,,"Bad type signature: ;\n",1255020799538
error,log,,,"Bad type signature: ;\n",1255020799539
error,log,,,"Bad type signature: ;\n",1255020799579
error,log,,,"Bad type signature: ;\n",1255020799580
error,log,,,"Bad type signature: ;\n",1255020799582
error,log,,,"Bad type signature: ;\n",1255020799583
error,log,,,"Bad type signature: ;\n",1255020799584
error,log,,,"Bad type signature: ;\n",1255020799585
error,log,,,"Bad type signature: ;\n",1255020799586
error,log,,,"Bad type signature: ;\n",1255020799591
error,log,,,"Bad type signature: ;\n",1255020799592
error,log,,,"Bad type signature: ;\n",1255020799594
error,log,,,"Bad type signature: ;\n",1255020836157
error,log,,,"Bad type signature: ;\n",1255020836181
error,log,,,"Bad type signature: ;\n",1255020836711
error,log,,,"Bad type signature: ;\n",1255020836736
error,log,,,"Bad type signature: ;\n",1255020836772
error,log,,,"Bad type signature: ;\n",1255020836798
error,log,,,"Bad type signature: ;\n",1255020836835
error,log,,,"Bad type signature: ;\n",1255020836861
