what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255020798861
error,log,,,"Bad type signature: ;\n",1255020798863
error,log,,,"Bad type signature: ;\n",1255020798940
error,log,,,"Bad type signature: ;\n",1255020798941
error,log,,,"Bad type signature: ;\n",1255020798942
error,log,,,"Bad type signature: ;\n",1255020798943
error,log,,,"Bad type signature: ;\n",1255020798944
error,log,,,"Bad type signature: ;\n",1255020798970
error,log,,,"Bad type signature: ;\n",1255020798971
error,log,,,"Bad type signature: ;\n",1255020798972
error,log,,,"Bad type signature: ;\n",1255020798973
error,log,,,"Bad type signature: ;\n",1255020798975
error,log,,,"Bad type signature: ;\n",1255020799048
error,log,,,"Bad type signature: ;\n",1255020799050
error,log,,,"Bad type signature: ;\n",1255020799051
error,log,,,"Bad type signature: ;\n",1255020799052
error,log,,,"Bad type signature: ;\n",1255020799053
error,log,,,"Bad type signature: ;\n",1255020799079
error,log,,,"Bad type signature: ;\n",1255020799080
error,log,,,"Bad type signature: ;\n",1255020799081
error,log,,,"Bad type signature: ;\n",1255020799082
error,log,,,"Bad type signature: ;\n",1255020799083
error,log,,,"Bad type signature: ;\n",1255020799529
error,log,,,"Bad type signature: ;\n",1255020799530
error,log,,,"Bad type signature: ;\n",1255020799531
