what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255020888737
error,log,,,"Bad type signature: ;\n",1255020888738
error,log,,,"Bad type signature: ;\n",1255020888739
error,log,,,"Bad type signature: ;\n",1255020888740
error,log,,,"Bad type signature: ;\n",1255020888741
error,log,,,"Bad type signature: ;\n",1255020888766
error,log,,,"Bad type signature: ;\n",1255020888767
error,log,,,"Bad type signature: ;\n",1255020888768
error,log,,,"Bad type signature: ;\n",1255020888769
error,log,,,"Bad type signature: ;\n",1255020888770
error,log,,,"Bad type signature: ;\n",1255020888936
error,log,,,"Bad type signature: ;\n",1255020888937
error,log,,,"Bad type signature: ;\n",1255020888938
error,log,,,"Bad type signature: ;\n",1255020888939
error,log,,,"Bad type signature: ;\n",1255020888940
error,log,,,"Bad type signature: ;\n",1255020888965
error,log,,,"Bad type signature: ;\n",1255020888966
error,log,,,"Bad type signature: ;\n",1255020888967
error,log,,,"Bad type signature: ;\n",1255020888993
error,log,,,"Bad type signature: ;\n",1255020888994
error,log,,,"Bad type signature: ;\n",1255020889130
error,log,,,"Bad type signature: ;\n",1255020889131
error,log,,,"Bad type signature: ;\n",1255020889132
error,log,,,"Bad type signature: ;\n",1255020889133
error,log,,,"Bad type signature: ;\n",1255020889134
