what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1254997797927
error,log,,,"Bad type signature: ;\n",1254997797928
error,log,,,"Bad type signature: ;\n",1254997797930
error,log,,,"Bad type signature: ;\n",1254997797931
error,log,,,"Bad type signature: ;\n",1254997797932
error,log,,,"Bad type signature: ;\n",1254997797933
error,log,,,"Bad type signature: ;\n",1254997797935
error,log,,,"Bad type signature: ;\n",1254997797936
error,log,,,"Bad type signature: ;\n",1254997797937
error,log,,,"Bad type signature: ;\n",1254997797938
error,log,,,"Bad type signature: ;\n",1254997797939
error,log,,,"Bad type signature: ;\n",1254997797944
error,log,,,"Bad type signature: ;\n",1254997797945
error,log,,,"Bad type signature: ;\n",1254997797946
error,log,,,"Bad type signature: ;\n",1254997797947
error,log,,,"Bad type signature: ;\n",1254997797948
error,log,,,"Bad type signature: ;\n",1254997797949
error,log,,,"Bad type signature: ;\n",1254997797950
error,log,,,"Bad type signature: ;\n",1254997797951
error,log,,,"Bad type signature: ;\n",1254997797953
error,log,,,"Bad type signature: ;\n",1254997797954
error,log,,,"Bad type signature: ;\n",1254997797955
error,log,,,"Bad type signature: ;\n",1254997797956
error,log,,,"Bad type signature: ;\n",1254997797957
error,log,,,"Bad type signature: ;\n",1254997797958
